ㄱㄱㅈㅇㅊㅇㄱㅈ,관계자외출입금지
ㅎㄹㅇㅇㅅ,호랑이의숲
ㅎㅂㅎㅁㅇ,행복한마을
ㅎㅇㄱㅍㅅ,해안가풀숲
ㅎㅈㄴㅎㄴ,해질녘하늘
ㅎㅈㅅㄴㅁ,해적선너머
ㅎㅈㅇㅇㄱㅅ,휴즈의연구실
ㅎㅌㅇㅇㄷㄱ,혼테일의동굴
ㄱㄱ,공공
ㄱㄱㄱㅁ,기계공맥
ㄱㄱㅊ,강경찰
ㄱㄷ,고든
ㄱㄹㅌ,그리토
ㄱㄹㅇㅅㅌㅁ,게리와샤티마
ㄱㅂ,구보
ㄱㅂㅅ,김박사
ㄱㅅㅂ,공서방
ㄱㅅㅌㅎㅌㅂ,고스트헌터밥
ㄱㅇ,건이
ㄱㅇㄱ,구영감
ㄱㅇㄱㄱㅎㅇㅂㅈ,과일가게할아버지
ㄱㅇㅎㄱㅇㄴㅈ,기억하고있는자
ㄱㅊㅊㅈㅈㅆ,경찰처장주씨
ㄲㅍㅇㅅㄴ,껌팔이소녀
ㄴㄱ,노공
ㄴㄴㅋ,나누크
ㄴㄷ,니드
ㄴㅁㄲ,나무꾼
ㄴㅂ,놀부
ㄴㅅㅂ,노서방
ㄴㅇㅇ,노이아
ㄴㅈㅅㅈㅇㅇㅆ,노점상주인오씨
ㄷㄱ,도공
ㄷㄹ,드랭
ㄷㄹㅇㅋㅅㅂㅍㅈㅍ,드레이크수배표지판
ㄷㅅ,돌쇠
ㄷㅇㅈ,도의진
ㄹㄱㄹ,레고르
ㄹㄴ,레네
ㄹㄸ,룽띳
ㄹㄹㅅㅅ,리리슈슈
ㄹㅁ,란밍
ㄹㅂㅅ,로빈슨
ㄹㅂㅇㄹ,로베이라
ㄹㅅㄹ,러셀론
ㄹㅇ,라야
ㄹㅇㅎㅇㅂ,루오할아범
ㄹㅋ,루크
ㄹㅌ,룽툽
ㅁㄷ,매드
ㅁㄹㅇㅅ,멜리아스
ㅁㅇㄹ,모이라
ㅁㅇㅅㅌㅈㄱ,마에스터장군
ㅁㅇㅋ,마이크
ㅁㅇㅌ,마운틴
ㅁㅈ,뮤즈
ㅁㅌ,무탄
ㅁㅎㅁㄷ,무하마드
ㅂㄷ,베딘
ㅂㄹ,바른
ㅂㄹㅅ,브루스
ㅂㄹㅊㅅㄴ,불량청소년
ㅂㄹㅋㅎ,브로커한
ㅂㅅㄱㅁㄷ,부사관메딘
ㅂㅅㅋㅂ,병사케빈
ㅂㅇ,부아
ㅂㅇㄹ,바이런
ㅂㅈㄱㅌㄱ,보좌관티군
ㅂㅊㅈ,박첨지
ㅂㅌ,베티
ㅃㄷㅇㅁ,뺑덕어멈
ㅅㄱㅌ,사가티
ㅅㄹ,시린
ㅅㄹㄱㄹㅋ,수리공로키
ㅅㅁㅅ,샤모스
ㅅㅂㅅ,심봉사
ㅅㅅㄹ,산신령
ㅅㅅㅎㄴㅈ,수상한남자
ㅅㅇㄱ,소원기
ㅅㅇㅇㅎ,시워언해
ㅅㅇㅈ,손연주
ㅅㅇㅎ,시원해
ㅅㅈ,세쟌
ㅅㅈㄱㅁㅇㅅ,수집광매이션
ㅅㅌ,샤티
ㅅㅍㄱㅁ,슈피겔만
ㅅㅍㅇㅅ,스페이슨
ㅅㅎㄹㅈㄷ,셰헤라자드
ㅇ,앤
ㅇㄱㅇㄱㄹㅇ,외계인그레이
ㅇㄱㅊ,임경찰
ㅇㄷ,아딘
ㅇㄹㄷ,아레다
ㅇㄹㅅㅇㅈ,요리사아종
ㅇㄹㅅㅋ,에레스카
ㅇㄹㅇ,윙리에
ㅇㄹㅇㅈ,어린왕자
ㅇㄹㅋ,아레크
ㅇㅁㅂㄹㅇㅅ,의무병라이스
ㅇㅁㅇㄴㅈㅈ,의미없는존재
ㅇㅂㅇㅇㅅㅂㅍㅈㅍ,이블아이수배표지판
ㅇㅅㅁ,야스민
ㅇㅅㅌ,에스텔
ㅇㅆㅇㅈㅆ,양씨아저씨
ㅇㅇㄴㅅ,오안네스
ㅇㅇㅎㅁㄴ,연이할머니
ㅇㅈㄹㅇ,요정로웬
ㅇㅈㅁㄹ,요정마르
ㅇㅈㅇ,요정윙
ㅇㅈㅇㄹㅇ,요정아르웬
ㅇㅈㅇㅋ,요정웡키
ㅇㅋㅅㅌ,알케스터
ㅇㅌ,유타
ㅇㅍㅅㄱㄹ,알퐁스그린
ㅇㅍㅍ,아파폰
ㅇㅎㅁㄷ,아흐마드
ㅈㄱㄱ,주걸균
ㅈㄱㅊ,정경찰
ㅈㄴ,자노
ㅈㄴㄱㅂㅈㄷㅂ,장난감병정델브
ㅈㄴㄱㅂㅈㅇㅅ,장난감병정올슨
ㅈㄴㅇㅂㄱㅅㅂㅍㅈㅍ,주니어부기수배표지판
ㅈㄹㄱㅎㅅ,조립공한스
ㅈㄹㄷ,제라드
ㅈㅂ,제비
ㅈㅂㅂㅅㅅㅂㅍㅈㅍ,좀비버섯수배표지판
ㅈㅆㅇㄱㅆ,조씨아가씨
ㅈㅇ,제이
ㅈㅇㄹ,지유르
ㅈㅌ,지트
ㅊㄴ,칠남
ㅊㄹㅂㅅㅅㅂㅍㅈㅍ,초록버섯수배표지판
ㅊㅅ,칠성
ㅊㅇㄹ,채이림
ㅋ,콥
ㅋㄴ,키니
ㅋㄴㅋㄴㅋ,키노코노코
ㅋㄷ,키드
ㅋㄷㅇㅇㅅㅂㅍㅈㅍ,콜드아이수배표지판
ㅋㄹㅅ,
ㅋㄹㅋㅅ,카르카사
ㅋㄹㅌ,카르타
ㅋㅁㄹ,카밀라
ㅋㅅ,카슨
ㅋㅈ,콩쥐
ㅋㅈㅇㅇㅅㅂㅍㅈㅍ,커즈아이수배표지판
ㅋㅌ,켄타
ㅌ,툰
ㅌㅅ,태상
ㅌㅅㄷㅈㅌ,탐사대장탱
ㅌㅇ,타위
ㅌㅇㄹㅅ,타일러스
ㅍ,폰
ㅍㄹ,폰라
ㅍㄹㅇ,필리아
ㅍㄹㅇㅈㅎㅌㅅ,페리온중형택시
ㅍㅅ,푼삭
ㅍㅅㅂ,판서방
ㅍㅅㅅㅅ,폭스상사
ㅍㅇ,파웬
ㅍㅇㅇㄹ,푸야이리
ㅎ,학
ㅎㄱㅊ,허경찰
ㅎㄴㅋ,하나코
ㅎㄴㅇ,햇님이
ㅎㄹ,헬린
ㅎㄹㅁㄴㅇ,하르모니아
ㅎㄹㅎ,황력홍
ㅎㅂ,흥부
ㅎㅅㅈ,황선장
ㅎㅇ,훈이
ㅎㅈ,휴즈
ㅎㅌㅅ,한태수
ㅎㅋㄹ,히카리
ㄱㄱㄹ,개구리
ㄱㄱㅌㅂㅇㅋ,기간틱바이킹
ㄱㄷㅇㅅㅇ,광대원숭이
ㄱㄹㅂㅂㅌ,그린버블티
ㄱㄹㅇ,구렁이
ㄱㄹㅇㅇ,구름여우
ㄱㄹㅋㄴㅇ,그린코니언
ㄱㄹㅌㄹㅅㅌ,그린트릭스터
ㄱㅁㄱㅍㄹㄷ,귀마개프릴드
ㄱㅁㅎ,구미호
ㄱㅂㅇ,게비알
ㄱㅅㅁㄹㅌㄲ,갈색모래토끼
ㄱㅅㅌㅍ,고스텀프
ㄱㅇㅋㅌㅇㄹㅅ,검은켄타우로스
ㄱㅇㅌㅋㅍ,게이트키퍼
ㄱㅎㄷㅁㅅㄹㅁㅌ,강화된미스릴뮤테
ㄱㅎㄷㅇㅇㅇㅁㅌ,강화된아이언뮤테
ㄲㅁㄱ,까마귀
ㄲㅂ,깨비
ㄴㄹㄷㅁㅂ,노란도마뱀
ㄴㄹㅇㄷㄲㅂ,노란왕도깨비
ㄴㅅㅌㄱㄹ,네스트골렘
ㄴㅇㄷㄹㅈ,늙은도라지
ㄴㅇㅎㄹㅇㄷ,네오휴로이드
ㄴㅌㅈㄴㅇ,뉴트주니어
ㄴㅍㄷㅅ,네펜데스
ㄷ,닭
ㄷㄲㅂ,두꺼비
ㄷㄹㅇㅋ,드레이크
ㄷㅂㅈ,데비존
ㄷㅂㅍ,딥버푼
ㄷㅅㅌㄴ,데스테니
ㄷㅇㅂㅋ,듀얼버크
ㄷㅇㅂㅌ,듀얼비틀
ㄷㅇㅈㄴ,대왕지네
ㄷㅇㅍㅇㄹ,듀얼파이렛
ㄷㅋㄴㅍㄷㅅ,다크네펜데스
ㄷㅋㄷㄹㅇㅋ,다크드레이크
ㄹㅇㄴ,루이넬
ㄹㅇㅋㅅㄹㅍ,라이칸스로프
ㅁㄴ,마노
ㅁㅅㅌㄷㅅㅌㄴ,마스터데스테니
ㅂㄹㄷㄹㄱㅌㅌ,블루드래곤터틀
ㅂㅇㅁㄹㄴㅈㅇ,붉은모래난쟁이
ㅂㅇㅋㅌㅇㄹㅅ,붉은켄타우로스
ㅂㅍㅅ,본피쉬
ㅅㄴㅇㅁ,스노우맨
ㅅㅌㄱㄹ,스톤골렘
ㅅㅌㅍ,스텀프
ㅅㅌㅍ,스텀피
ㅇㄱㅅㅅ,요괴선사
ㅇㄹㅈ,엘리쟈
ㅇㅁ,월묘
ㅇㅅㅌㅍ,엑스텀프
ㅇㅌ,예티
ㅇㅌㅇㅍㅍ,예티와페페
ㅈㅂㅁㅅㅁ,좀비머쉬맘
ㅊㅎㅅ,청화사
ㅋㅋㄹ,킹크랑
ㅌㄴㅌㅅ,타나토스
ㅍㄷㄱ,판다곰
ㅍㄹㅇㅍㅅ,플라워피쉬
ㅍㄹㅋㄹㅇㄷ,프랑켄로이드
ㅍㄹㅋㅌㅇㄹㅅ,푸른켄타우로스
ㅍㅇㄴㅅ,피아누스
ㅍㅍㅍㅅ,파파픽시
ㅎㅁ,호문
ㅎㅁㄹㅌㄲ,흰모래토끼
ㅎㅁㅅㅋㄹ,호문스큘러
ㅎㅁㅋㄹ,호문쿨루
ㅎㅌ,헥터
ㄱㄱㅅㅈ,기계심장
ㄱㄱㅌㅂㅇㅋㅇㅁㅈ,기간틱바이킹의모자
ㄱㄹㅍㅇㅃ,그리프의뿔
ㄱㄹㅍㅇㄲㄹ,그류핀의꼬리
ㄱㅁ,골무
ㄱㅁㄱ,귀마개
ㄱㅁㄹㄱㄹ,금모래가루
ㄱㅁㅈ,거미줄
ㄱㅂㅂㄷ,곰발바닥
ㄱㅂㅇㅇㄱㅈ,게비알의가죽
ㄱㅇㄱㄷㄲㅈ,금이간등껍질
ㄱㅇㅇㅇㅎ,고양이인형
ㄱㅇㅎㅇㄴㄹㄹㅂ,곰인형의노란리본
ㄱㅇㅎㅇㅅㅁㅊ,곰인형의솜뭉치
ㄱㅊㅍㅍ,강철파편
ㄱㅊㅍㅍㄱㅎㅎ,강철파편강화형
ㄲㅁㄱㄱㅌ,까마귀깃털
ㄲㅈㅇㄴㄱㅁㅈ,끈적이는거미줄
ㄲㅈㅎㅇㄹㅈㄱ,깨진항아리조각
ㄴㄱㄹㅈㅈ,너구리장작
ㄴㄹㅅㅈㄴㄱㅂㄹ,
ㄴㄹㅎㄹㄸ,노란허리띠
ㄴㅁㅁㅊ,나무망치
ㄴㅁㄱㅈ,나뭇가지
ㄴㅁㅇ,나뭇잎
ㄴㅁㅇㄲㅂㅎㄷ,나무어깨보호대
ㄴㅁㅇㅁ,나무열매
ㄴㅁㅇㅎ,나무인형
ㄴㅁㅍㅇ,나무팽이
ㄴㅇㄱㄱ,낡은고글
ㄴㅇㅁㄷㄹ,낡은목도리
ㄴㅇㅈㅇ,낡은종이
ㄴㅍㄷㅅㅇㅆㅇ,네펜데스의씨앗
ㄴㅋㅇㄲ,네키의꽃
ㄴㅋㅇㅅㅇㅁㅈ,
ㄷㄷㅎㅎㄷ,단단한호두
ㄷㄹㅇㅋㅇㅁㄹㅃ,드레이크의머리뼈
ㄷㅂㅍㅇㄷㅈㄱ,딥버푼의돌조각
ㄷㅁㅇㄱㅈ,동물의가죽
ㄷㅇㅂㅋㅇㅃ,듀얼버크의뿔
ㄷㅇㅂㅋㅇㅈㅇㄲㄹ,듀얼버크의작은꼬리
ㄷㅇㅍㅇㄹㅇㅊㅈㄱ,듀얼파이렛의추진기
ㄷㅋㄴㅅㅇㅌㅁㅊ,다크레쉬의털뭉치
ㄷㅋㄹㅌㅇㅌㅁㅊ,다크리티의털뭉치
ㄷㅋㅅㅌㄱㄹㅇㄷㅈㄱ,다크스톤골렘의돌조각
ㄷㅋㅇㅌㅇㅃ,다크예티의뿔
ㄷㅋㅈㄴㅇㅇㅌㅇㄱㅈ,다크주니어예티의가죽
ㄷㅋㅍㅍㅇㅂㄹ,다크페페의부리
ㄷㅌㄹ,도토리
ㄷㅍㅇㅇㄲㅈ,달팽이의껍질
ㄹㄱㅇㅌㅇㄱㅈ,리게이터의가죽
ㄹㄴㅍㅅㅇㄷㅈㄱ,루나픽시의달조각
ㄹㄹㅇㅈㄱㅂ,로랑의집게발
ㄹㅂㄷㅇㅁㅁㄹㅋㄷ,롬바드의메모리카드
ㄹㅅㅇㅌㅁㅊ,레쉬의털뭉치
ㄹㅅㅌㅇㄱㅈ,리스튼의가죽
ㄹㅅㅌㅍㅅㅇㅌㅇㅈㄱ,러스터픽시의태양조각
ㄹㅇㄴㅇㄲㄹ,루이넬의꼬리
ㄹㅇㅇㄴㅇㄲㄹ,라이오너의꼬리
ㄹㅇㅈㅂㅍㅇㄱㅅ,레이지버피의구슬
ㄹㅇㅋㅅㄹㅍㅇㅂㅌ,라이칸스로프의발톱
ㄹㅌㅇㅌㅁㅊ,리티의털뭉치
ㄹㅍㅇㅂㄴㄴ,루팡의바나나
ㄹㅍㅇㅎ,루팡인형
ㅁㄱㅈㄱㄱㅅㅈ,망가진기계심장
ㅁㄴㅇㄲㄹ,마뇽의꼬리
ㅁㄹㄷㅇㅅㅎㅇㄱㄱㄹ,멜러디의실험용개구리
ㅁㄹㅇㅅㄱㄷㄱ,망령의삼각두건
ㅁㅅㄹㅍㅍ,미스릴파편
ㅁㅅㄹㅍㅍㄱㅎㅎ,미스릴파편강화형
ㅁㅅㅁㅇㅍㅈ,머쉬맘의포자
ㅁㅇㄱ,망원경
ㅁㅇㅇㅅㄱㄹ,문어열쇠고리
ㅁㅊㄱㄹ,마취가루
ㅁㅋㅁㅋㅎㅇㅊ,물컹물컹한액체
ㅁㅋㅌㅇㅇㄱㅅㅊ,메카티안의광선총
ㅁㅌㅇㅇㅊㅅ,마티안의촉수
ㅂㄱㅈ,뱀가죽
ㅂㄱㅇㄴㅈ,비급의낱장
ㅂㄴㅆㅈ,바늘쌈지
ㅂㄷㅇㅅㄱㄴ,불독의송곳니
ㅂㄹㄷㅎㅍㅇㅁㄹㄱ,블러드하프의머리관
ㅂㄹㅈㅃ,부러진뿔
ㅂㄹㅈㅅㅅㅃ,부러진사슴뿔
ㅂㅂㄹㅇㅋㅂㅇ,버블링의큰방울
ㅂㅂㅇ,뱀방울
ㅂㅅㅇㅍㅈ,버섯의포자
ㅂㅇㄷㄲㅈ,붉은등껍질
ㅂㅇㅋㅇㄷ,바이킹의돛
ㅂㅈㄹ,빈자루
ㅂㅋ,비커
ㅂㅋㅇㅆㄷㅍ,버크의씹던풀
ㅂㅌㅇㅃ,비틀의뿔
ㅂㅍㅇㄱㅈㅅㄱ,버푼의괘종시계
ㅂㅍㅇㅁㅈ,버피의모자
ㅂㅎㄱㅁㅌ,비행기모터
ㅂㅎㄱㅋㅌㄹㄹ,비행기컨트롤러
ㅂㅎㄱㅍㄹㅍㄹ,
ㅃㄱㄷㅍㅇㅇㄲㅈ,빨간달팽이의껍질
ㅃㄱㅎㄹㄸ,빨간허리띠
ㅅㄱㅌㅇ,시계태엽
ㅅㄴㅋ,스노클
ㅅㄹㅇㅇㄲㄹ,샐리온의꼬리
ㅅㄹㅇㅇㅂㅇ,슬라임의방울
ㅅㅁㅇㅂㄲ,사막의불꽃
ㅅㅅㄱ,수신기
ㅅㅅㄷㅇㅁ,산삼달인물
ㅅㅇ,솔잎
ㅅㅇㅈㅇㄱㅅ,선인장의가시
ㅅㅇㅈㅇㅈㄱ,선인장의줄기
ㅅㅈㅇㅁㅈ,선장의모자
ㅅㅌㄱㄹㅇㄷㅈㄱ,스톤골렘의돌조각
ㅅㅌㅂ,식탁보
ㅅㅌㅂㅇㄷㅈㄱ,스톤볼의돌조각
ㅅㅌㅈㅇㄴㄱ,스티지의날개
ㅅㅌㅍㅅㅇㅂㅈㄱ,스타픽시의별조각
ㅅㅎㅇㅈㅅ,소형우주선
ㅆㄱㄹㄱㅈㅈ,싸구려건전지
ㅇㄲㅈㅈㄱ,알껍질조각
ㅇㄹㄱㄹㅇㅇㅍㅅ,원로그레이의표식
ㅇㄹㄷㅃ,오래된뼈
ㅇㅂㅇㅇㅇㄲㄹ,이블아이의꼬리
ㅇㅅㅎㄴㄲㅇㅇ,이상한느낌의약
ㅇㅅㅎㅇ,이상한알
ㅇㅇㄱㅈ,용의가죽
ㅇㅇㄲㄹ,여우꼬리
ㅇㅇㄷㅂㅇㅇㅅㄱㄴ,와일드보어의송곳니
ㅇㅇㄷㅋㄱㅇㄴㄷㅈ,와일드카고의눈동자
ㅇㅇㅂㅇㄴㄱ,와이번의날개
ㅇㅇㅂㅇㅂㅌ,와이번의발톱
ㅇㅇㅂㅇㅇㄱㅁ,와이번의아가미
ㅇㅇㅅㅅㅌㅂㅇㄷㅈㄱ,아이스스톤볼의돌조각
ㅇㅇㅇㅍㅇㅂㅌ,웨어울프의발톱
ㅇㅇㅇㅎㄱㅇㅊㅂㄱ,
ㅇㅈㅅㄹ,우주식량
ㅇㅌㅇㄷㄲㅈ,엄티의등껍질
ㅇㅌㅍㅅㅇㄷㄹ,옥토퍼스의다리
ㅈㄱㅇㄷㅊ,전갈의독침
ㅈㄴㄱㅂ,장난감북
ㅈㄴㅇㅂㄱㅇㅃ,주니어부기의뿔
ㅈㄴㄱㅂㅈㅇㅋ,장난감병정의칼
ㅈㄴㄱㅅㄲㅇㄹ,장난감새끼오리
ㅈㄴㄱㅍㄹㅍㄹ,장난감프로펠러
ㅈㄴㅇㅅㅌㅂㅇㄷㅈㄱ,주니어스톤볼의돌조각
ㅈㄴㅇㅇㅌㅇㄱㅈ,주니어예티의가죽
ㅈㄴㅇㅍㅍㅇㅁㄱㄱ,주니어페페의물고기
ㅈㄷ,쥐덫
ㅈㄹㅌ,젤라틴
ㅈㅂㅇㅇㅇㅂㄹㄱㄴ,좀비의잃어버린금니
ㅈㅂㅇㅇㅇㅂㄹㅇㄱㄴ,좀비의잃어버린어금니
ㅈㅅㄷㅂ,전선다발
ㅈㅇㅂㄲㄱㅌ,작은불꽃깃털
ㅈㅇㅅㄱ,작은시계
ㅈㅇㅇ,작은알
ㅈㅇㅈㅇㅂㅈ,죽은자의부적
ㅈㅇㅎ,짚인형
ㅈㅈ,장작
ㅈㅈㄱㄹ,저주가루
ㅈㅈㅂㅇㅇㅎ,저주받은인형
ㅈㅎㅂㅅㅇㄱ,주황버섯의갓
ㅊㄷㅆㅇ,천도씨앗
ㅊㅇㅈ,출입증
ㅋㄱㄹㅇㅇㄲㄹ,큰구름여우꼬리
ㅋㄷㅇㅇㅇㄲㄹ,콜드아이의꼬리
ㅋㄹㅂ,
ㅋㄹㅇㅈㄱㅂ,클랑의집게발
ㅋㄹㅇㅍㅅ,크루의표식
ㅋㄹㅋㅇㄱㅈ,크로코의가죽
ㅋㅅㅌ,콘센트
ㅋㅇㅇㅂㄹ,키요의부리
ㅋㅌㅅㅇㄲ,카투스의꽃
ㅋㅌㅇㄹㅅㅇㅂㄲ,켄타우로스의불꽃
ㅋㅌㅇㄹㅅㅇㅃ,켄타우로스의뼈
ㅋㅌㅇㄹㅅㅇㅈㅅ,켄타우로스의정수
ㅌㄴㅂㅋ,톱니바퀴
ㅌㄴㅌㅅㅇㄱㅈ,타나토스의견장
ㅌㅇㄹㅅㅍㅇㅇㅃ,타우로스피어의뿔
ㅍㄷㅇㅎ,팬더인형
ㅍㄹㄷㅍㅇㅇㄲㅈ,파란달팽이의껍질
ㅍㄹㅂㅅㅇㄱ,파란버섯의갓
ㅍㄹㅅㅈㄴㄱㅂㄹ,파란색장난감블록
ㅍㄹㅅㅋ,플라스크
ㅍㄹㅅㅌㅇㄱ,플라스틱왕관
ㅍㄹㅇㅇㅇㅇㄴㄱ,플라이아이의날개
ㅍㄹㅌㅇㅇㅎㅁ,플라티안의헬멧
ㅍㅇㄹㅇㄷㄷㅇ,페어리의더듬이
ㅍㅇㄹㅇㅋ,파이렛의키
ㅍㅇㅇㄷㅇㅁㄱㅇ,파이어독의목걸이
ㅍㅇㅇㅂㅇㅂㅆ,파이어봄의불씨
ㅍㅇㅇㅂㅇㅇㅅㄱㄴ,파이어보어의송곳니
ㅍㅇㅇㅅㅌㅂㅇㄷㅈㄱ,파이어스톤볼의돌조각
ㅍㅍㅇㅂㄹ,페페의부리
ㅍㅎㅂㅇㅂㅈ,핀호브의부적
ㅎㄱㅇㄲㅂㅎㄷ,해골어깨보호대
